estimator_name,budget_fraction,seed,false_positive_rate,detection_rate,threshold
naive,0.0,0,0.05,1.0,15.517557075697752
naive,0.0,1,0.05,1.0,15.637885257856457
naive,0.0,2,0.05,1.0,15.68173438749744
naive,0.0,3,0.05,1.0,16.525078432572823
naive,0.0,4,0.05,1.0,15.862650486996424
naive,0.0,5,0.05,1.0,15.541209300406665
naive,0.0,6,0.05,1.0,15.334170232684519
naive,0.0,7,0.05,1.0,15.847206350828209
naive,0.0,8,0.05,1.0,16.726468954341705
naive,0.0,9,0.05,1.0,14.695041913076022
naive,0.0,10,0.05,1.0,15.407587252940175
naive,0.0,11,0.05,1.0,15.534908346713685
naive,0.0,12,0.05,1.0,16.451624223144503
naive,0.0,13,0.05,1.0,16.196621144921355
naive,0.0,14,0.05,1.0,15.723519424019434
naive,0.0,15,0.05,1.0,16.39219883991219
naive,0.0,16,0.05,1.0,15.643803943324938
naive,0.0,17,0.05,1.0,16.254922697414663
naive,0.0,18,0.05,1.0,16.233102115527636
naive,0.0,19,0.05,1.0,15.209479766521058
sediment_trim05,0.0,0,0.05,1.0,15.661552777821795
sediment_trim05,0.0,1,0.05,1.0,15.554989259746478
sediment_trim05,0.0,2,0.05,1.0,15.526368322436493
sediment_trim05,0.0,3,0.05,1.0,16.662465053452365
sediment_trim05,0.0,4,0.05,1.0,15.81852270234051
sediment_trim05,0.0,5,0.05,1.0,15.633870627673325
sediment_trim05,0.0,6,0.05,1.0,15.267924599798622
sediment_trim05,0.0,7,0.05,1.0,16.144567476795366
sediment_trim05,0.0,8,0.05,1.0,16.618379663443836
sediment_trim05,0.0,9,0.05,1.0,14.963475676251027
sediment_trim05,0.0,10,0.05,1.0,15.356057992048331
sediment_trim05,0.0,11,0.05,1.0,15.746028501016532
sediment_trim05,0.0,12,0.05,1.0,16.852531931774053
sediment_trim05,0.0,13,0.05,1.0,16.259182493546586
sediment_trim05,0.0,14,0.05,1.0,15.799689081783555
sediment_trim05,0.0,15,0.05,1.0,16.635879104877503
sediment_trim05,0.0,16,0.05,1.0,15.762948917083206
sediment_trim05,0.0,17,0.05,1.0,16.237644284309994
sediment_trim05,0.0,18,0.05,1.0,16.3514473344403
sediment_trim05,0.0,19,0.05,1.0,15.350694076634156
sediment_trim10,0.0,0,0.05,1.0,15.533162213096828
sediment_trim10,0.0,1,0.05,1.0,15.384104336382922
sediment_trim10,0.0,2,0.05,1.0,15.440766702827592
sediment_trim10,0.0,3,0.05,1.0,16.538952140968952
sediment_trim10,0.0,4,0.05,1.0,15.583563496971845
sediment_trim10,0.0,5,0.05,1.0,15.603910555861482
sediment_trim10,0.0,6,0.05,1.0,15.067850000571369
sediment_trim10,0.0,7,0.05,1.0,16.000638417995507
sediment_trim10,0.0,8,0.05,1.0,16.616721767130127
sediment_trim10,0.0,9,0.05,1.0,14.968488277513993
sediment_trim10,0.0,10,0.05,1.0,15.316797036761898
