estimator_name,budget_fraction,seed,detection_rate,false_positive_rate,threshold,target_score,median_benign_score,median_malicious_score
naive,0.0,0,1.0,0.05,15.03679741445688,130.10496311389392,7.398533932552077,130.2855621890425
naive,0.0,1,1.0,0.05,15.405458751527025,130.44288337865999,7.5135589766060225,130.40113159003798
naive,0.0,2,1.0,0.05,16.63508815312249,132.51728417092497,7.973944054488765,132.56063627465647
naive,0.0,3,1.0,0.05,16.227778565686002,130.0787514004185,7.8354125913021155,130.08852785571742
naive,0.0,4,1.0,0.05,15.390243381243918,135.02018936474292,7.493218791610779,135.2784744440783
naive,0.0,5,1.0,0.05,15.483928288616344,128.47187017442934,7.345113859692394,128.64433655061015
naive,0.0,6,1.0,0.05,15.712694445975735,132.86434758836563,7.361338112362507,132.71312689035517
naive,0.0,7,1.0,0.05,17.099924317059664,127.76299716746091,7.103433878666017,127.71511173077552
naive,0.0,8,1.0,0.05,16.45246462650778,134.4157947493743,7.428513151771146,134.64584898882282
naive,0.0,9,1.0,0.05,15.513420535327963,129.18644623592826,7.436165318411694,129.4909044048855
naive,0.02,0,1.0,0.05,11.498335639716824,96.61021290952301,5.677799555745833,96.72679293548391
naive,0.02,1,1.0,0.05,12.056185233465264,96.77799919340492,5.810912654743065,96.73905893539234
naive,0.02,2,1.0,0.05,13.407882042542324,97.89952353601232,6.146320612371875,97.94910327820988
naive,0.02,3,1.0,0.05,12.725350655770677,96.52536300066271,6.096386018938389,96.54894027484679
naive,0.02,4,1.0,0.05,11.927133837880303,99.2965770536807,5.849497986190933,99.51376396500049
naive,0.02,5,1.0,0.05,12.220146428645814,95.65475571801323,5.704828557036124,95.81331461834642
naive,0.02,6,1.0,0.05,12.316319376769998,98.18816911771788,5.777380968879321,98.07506646966917
naive,0.02,7,1.0,0.05,13.090633732109982,95.26621581042211,5.576140512731829,95.22330086090952
naive,0.02,8,1.0,0.05,12.71240128348753,99.03496065881089,5.863483014548997,99.21371621115355
naive,0.02,9,1.0,0.05,12.007033729545636,96.10047420649778,5.801622654836555,96.34248597999508
naive,0.05,0,1.0,0.05,8.771904945845167,69.71815981661143,4.440355152865433,69.80989880134648
naive,0.05,1,1.0,0.05,9.484472948588843,69.79918896931812,4.63928660677643,69.7663966726608
naive,0.05,2,1.0,0.05,10.202971040014377,70.38100444809203,4.854852375971236,70.42143972486522
naive,0.05,3,1.0,0.05,9.773101862900456,69.64307969618861,4.951300562965202,69.64030271168937
naive,0.05,4,1.0,0.05,9.586993675447319,71.12660731050343,4.599272414460989,71.31155047496614
naive,0.05,5,1.0,0.05,9.596887746087468,69.1895381134681,4.523613446412473,69.32697178325668
naive,0.05,6,1.0,0.05,9.49961894013289,70.5747796345804,4.556221393716461,70.48817478025961
naive,0.05,7,1.0,0.05,10.179421940770569,68.98652497762258,4.426144320014662,68.9506481349629
naive,0.05,8,1.0,0.05,10.007059376142093,71.01815133417745,4.5726211999933835,71.15382670701565
naive,0.05,9,1.0,0.05,9.548157923224082,69.4473001758582,4.499482460689046,69.64157751243313
naive,0.08,0,1.0,0.05,7.610226182901325,54.544707820757466,3.851248650462974,54.625888368017286
naive,0.08,1,1.0,0.05,8.25935115465588,54.59270274864281,4.0565623517839136,54.564553168644785
naive,0.08,2,1.0,0.05,8.939189186382755,54.95210813418363,4.214276275196261,54.981190158842715
naive,0.08,3,1.0,0.05,8.408696286714603,54.4870554481205,4.38942662603935,54.48758767049647
naive,0.08,4,1.0,0.05,8.312075696194688,55.4206066188078,3.9777184903651044,55.562539153030414
naive,0.08,5,1.0,0.05,8.369255703556156,54.20594275397526,3.900267586517357,54.32480693477427
naive,0.08,6,1.0,0.05,8.213200849001618,55.08768802012026,3.935242662435205,55.020529728240035
naive,0.08,7,1.0,0.05,8.691605637044967,54.08023750909261,3.845339821907275,54.0498448649748
naive,0.08,8,1.0,0.05,8.782854225354008,55.36318309483323,3.9232691352248557,55.47503992998169
naive,0.08,9,1.0,0.05,8.078764314245655,54.37489987419343,3.789250317322181,54.53488956626085
naive,0.1,0,1.0,0.05,7.3495215693419995,47.63515739679602,3.6190266350958993,47.71047435396429
naive,0.1,1,1.0,0.05,7.816698444778989,47.67139865072035,3.7978538423660453,47.64657807870235
naive,0.1,2,1.0,0.05,8.432091907430879,47.94815398917621,3.972820710492678,47.977567565650325
naive,0.1,3,1.0,0.05,8.110926336310683,47.58672119086947,4.110686318035049,47.59208879227847
naive,0.1,4,1.0,0.05,7.866306243128878,48.31181374991952,3.8053938905159534,48.432845333241616
naive,0.1,5,1.0,0.05,7.9242225554251595,47.36986797849984,3.695437111662913,47.47770250922039
naive,0.1,6,1.0,0.05,7.711435033083822,48.05822817191268,3.7000078720572103,48.00118309801606
naive,0.1,7,1.0,0.05,8.280433381127347,47.27300743297415,3.6362804709831558,47.245462204197594
