estimator_name,budget_fraction,seed,detection_rate,false_positive_rate,threshold,target_score,median_benign_score,median_malicious_score
naive,0.0,0,1.0,0.05,15.03679741445688,130.10496311389392,7.398533932552077,130.2855621890425
naive,0.0,1,1.0,0.05,15.405458751527025,130.44288337865999,7.5135589766060225,130.40113159003798
naive,0.0,2,1.0,0.05,16.63508815312249,132.51728417092497,7.973944054488765,132.56063627465647
naive,0.0,3,1.0,0.05,16.227778565686002,130.0787514004185,7.8354125913021155,130.08852785571742
naive,0.0,4,1.0,0.05,15.390243381243918,135.02018936474292,7.493218791610779,135.2784744440783
naive,0.0,5,1.0,0.05,15.483928288616344,128.47187017442934,7.345113859692394,128.64433655061015
naive,0.0,6,1.0,0.05,15.712694445975735,132.86434758836563,7.361338112362507,132.71312689035517
naive,0.0,7,1.0,0.05,17.099924317059664,127.76299716746091,7.103433878666017,127.71511173077552
naive,0.0,8,1.0,0.05,16.45246462650778,134.4157947493743,7.428513151771146,134.64584898882282
naive,0.0,9,1.0,0.05,15.513420535327963,129.18644623592826,7.436165318411694,129.4909044048855
naive,0.02,0,1.0,0.05,11.541281903251715,96.43132245942148,5.677157468696784,96.55476218706772
naive,0.02,1,1.0,0.05,12.035323271691468,96.33879339059963,5.792192813267298,96.30759880157534
naive,0.02,2,1.0,0.05,13.211922147587632,97.17922771464748,6.097615853029,97.23277456663338
naive,0.02,3,1.0,0.05,12.576749431885474,95.67038930467098,6.045183850701349,95.69737538873758
naive,0.02,4,1.0,0.05,11.859938061193787,98.704564473294,5.818396340736645,98.91231585600438
naive,0.02,5,1.0,0.05,12.161944589767256,95.48943972000377,5.667376375023644,95.6527922637363
naive,0.02,6,1.0,0.05,12.174339104236008,97.41037512000119,5.736435045817335,97.30911750002619
naive,0.02,7,1.0,0.05,13.03669816627035,94.66756835302257,5.535921841081109,94.63171199799115
naive,0.02,8,1.0,0.05,12.709247920176335,98.68548061657108,5.834124586463378,98.87012122408477
naive,0.02,9,1.0,0.05,11.939440763030516,95.89184018467022,5.763353361829318,96.12888444129246
naive,0.05,0,1.0,0.05,8.676662026176057,68.37444642654586,4.373844433410248,68.47856784015647
naive,0.05,1,1.0,0.05,9.424860083472355,68.29649162950909,4.598698256868382,68.26357616709107
naive,0.05,2,1.0,0.05,10.029692046771011,68.81531635608333,4.781728006007524,68.85873494842276
naive,0.05,3,1.0,0.05,9.574668545015149,68.02587820227376,4.904673304994768,68.02117993945922
naive,0.05,4,1.0,0.05,9.495726638098489,69.26670549857556,4.53544117028016,69.44631485203766
naive,0.05,5,1.0,0.05,9.44659779836955,67.4450343454892,4.428201833028891,67.58473762794503
naive,0.05,6,1.0,0.05,9.331055793077653,68.58767603039213,4.438835643780402,68.5023931448021
naive,0.05,7,1.0,0.05,9.960464510021408,67.12722692568062,4.313662321640579,67.09811188639648
naive,0.05,8,1.0,0.05,9.861603098447258,69.42801490984236,4.514154410592167,69.56508994200125
naive,0.05,9,1.0,0.05,9.372780345037892,67.78650597382823,4.417067164947177,67.97336619173105
naive,0.08,0,1.0,0.05,7.563954997389398,52.08561204913344,3.776901834419359,52.168173508794155
naive,0.08,1,1.0,0.05,8.065490336624238,52.071335338976965,3.9282690671255813,52.04876251008416
naive,0.08,2,1.0,0.05,8.77029125630461,52.31831172464471,4.167826379158038,52.34730190212024
naive,0.08,3,1.0,0.05,8.384542855552372,51.93560965805977,4.27696465221735,51.93986345018958
naive,0.08,4,1.0,0.05,8.162108623998732,52.78130105544645,3.965041268861511,52.91931128247453
naive,0.08,5,1.0,0.05,8.175763399953652,51.56108306981275,3.832685428971325,51.67218970267864
naive,0.08,6,1.0,0.05,7.986956369855204,52.30735477087825,3.8045256716944236,52.243256310782016
naive,0.08,7,1.0,0.05,8.535197363100528,51.43567040610779,3.759417318008676,51.41119437521071
naive,0.08,8,1.0,0.05,8.479369152055773,52.609352353055016,3.8701517573943396,52.7208317009683
naive,0.08,9,1.0,0.05,7.886822529972759,51.94603862181833,3.6909848037046595,52.09781748778353
naive,0.1,0,1.0,0.05,7.304580598593431,44.67440726059749,3.5902139732008944,44.75067017989198
naive,0.1,1,1.0,0.05,7.665710362520613,44.60538496270071,3.724189460288272,44.58883320170142
naive,0.1,2,1.0,0.05,8.234557784716827,44.7128066839993,3.9106557192136293,44.73574167486897
naive,0.1,3,1.0,0.05,8.06592866117963,44.429815839129034,3.990857480013064,44.43665977481763
naive,0.1,4,1.0,0.05,7.632270382408208,45.130536530492996,3.764639829506172,45.25074115916395
naive,0.1,5,1.0,0.05,7.8229385368402955,44.121043749498725,3.663317857822908,44.2238152233751
naive,0.1,6,1.0,0.05,7.4925629841053025,44.743631546521385,3.638311631245533,44.69214222824779
naive,0.1,7,1.0,0.05,8.13060985922691,44.21147353497327,3.537166213088603,44.18954192267062
